email_id,subject,body,category,tone,sentiment,sender,recipient,created_at,clean_subject,clean_body,combined_text,features,intent,formality,greeting,closing
E00000,Announcement: the partnership agreement,"Hi Jordan,

Quick announcement — the partnership agreement goes live on July 22. We'll share follow-up materials shortly.

Thanks,
Jamie",announcement,formal,positive,Jamie,Jordan,2024-08-02T00:00:00,Announcement: the partnership agreement,"Hi Jordan,

Quick announcement — the partnership agreement goes live on July 22. We'll share follow-up materials shortly.

Thanks,
Jamie","Announcement: the partnership agreement

Hi Jordan,

Quick announcement — the partnership agreement goes live on July 22. We'll share follow-up materials shortly.

Thanks,
Jamie","{'greeting': '', 'closing': 'Thanks,', 'intent': 'announcement', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['share', 'ship']}",announcement,neutral,,"Thanks,"
E00001,Thanks for the the security audit,"Hello Morgan,

I really appreciate your help with the security audit. Looking forward to working together again.

Thanks,
Pat",thank_you,neutral,positive,Pat,Morgan,2024-10-03T00:00:00,Thanks for the the security audit,"Hello Morgan,

I really appreciate your help with the security audit. Looking forward to working together again.

Thanks,
Pat","Thanks for the the security audit

Hello Morgan,

I really appreciate your help with the security audit. Looking forward to working together again.

Thanks,
Pat","{'greeting': '', 'closing': 'Thanks,', 'intent': 'thank_you', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': []}",thank_you,neutral,,"Thanks,"
E00002,Checking in on the product launch,"Hi Taylor,

Just circling back on the product launch. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Marco",follow_up,neutral,neutral,Marco,Taylor,2024-08-09T00:00:00,Checking in on the product launch,"Hi Taylor,

Just circling back on the product launch. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Marco","Checking in on the product launch

Hi Taylor,

Just circling back on the product launch. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Marco","{'greeting': '', 'closing': 'Thanks,', 'intent': 'follow_up', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['check', 'review']}",follow_up,neutral,,"Thanks,"
E00003,Outstanding invoice INV-01071,"Dear Alex,

Please find attached invoice INV-01071 for the partnership agreement. The amount due is payable by October 15. Let me know if you have any questions.

Regards,
Marco",invoice,formal,neutral,Marco,Alex,2024-04-19T00:00:00,Outstanding invoice INV-01071,"Dear Alex,

Please find attached invoice INV-01071 for the partnership agreement. The amount due is payable by October 15. Let me know if you have any questions.

Regards,
Marco","Outstanding invoice INV-01071

Dear Alex,

Please find attached invoice INV-01071 for the partnership agreement. The amount due is payable by October 15. Let me know if you have any questions.

Regards,
Marco","{'greeting': '', 'closing': 'Regards,', 'intent': 'request', 'formality': 'formal', 'placeholders': ['recipient_name', 'sender_name', 'deadline'], 'action_words': ['invoice', 'pay', 'ship']}",request,formal,,"Regards,"
E00004,Apology for outage on our staging environment,"Hi Chris,

I'm truly sorry for the inconvenience caused by outage on our staging environment. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Pat",apology,formal,negative,Pat,Chris,2024-06-12T00:00:00,Apology for outage on our staging environment,"Hi Chris,

I'm truly sorry for the inconvenience caused by outage on our staging environment. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Pat","Apology for outage on our staging environment

Hi Chris,

I'm truly sorry for the inconvenience caused by outage on our staging environment. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Pat","{'greeting': '', 'closing': '', 'intent': 'apology', 'formality': 'neutral', 'placeholders': ['recipient_name'], 'action_words': ['update']}",apology,neutral,,
E00005,Complaint regarding the migration project,"Dear Alex,

I'm writing to express my frustration with inaccurate invoice. This has caused significant disruption and I would appreciate a prompt response on how you intend to resolve this.

Regards,
Jamie",complaint,formal,negative,Jamie,Alex,2024-05-19T00:00:00,Complaint regarding the migration project,"Dear Alex,

I'm writing to express my frustration with inaccurate invoice. This has caused significant disruption and I would appreciate a prompt response on how you intend to resolve this.

Regards,
Jamie","Complaint regarding the migration project

Dear Alex,

I'm writing to express my frustration with inaccurate invoice. This has caused significant disruption and I would appreciate a prompt response on how you intend to resolve this.

Regards,
Jamie","{'greeting': '', 'closing': 'Regards,', 'intent': 'complaint', 'formality': 'formal', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['invoice', 'resolve', 'sign']}",complaint,formal,,"Regards,"
E00006,Your the customer onboarding flow is confirmed,"Hi Alex,

This email confirms that the customer onboarding flow is scheduled for next quarter. Please let me know if anything changes.

Thanks,
Pat",confirmation,neutral,positive,Pat,Alex,2024-10-29T00:00:00,Your the customer onboarding flow is confirmed,"Hi Alex,

This email confirms that the customer onboarding flow is scheduled for next quarter. Please let me know if anything changes.

Thanks,
Pat","Your the customer onboarding flow is confirmed

Hi Alex,

This email confirms that the customer onboarding flow is scheduled for next quarter. Please let me know if anything changes.

Thanks,
Pat","{'greeting': '', 'closing': 'Thanks,', 'intent': 'confirmation', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': ['confirm', 'schedule']}",confirmation,neutral,,"Thanks,"
E00007,Introducing Drew,"Hi Alex,

My name is Drew and I'm reaching out about the product launch. I'd love to learn more about your work and explore potential collaboration.

Best,
Drew",introduction,neutral,positive,Drew,Alex,2024-03-23T00:00:00,Introducing Drew,"Hi Alex,

My name is Drew and I'm reaching out about the product launch. I'd love to learn more about your work and explore potential collaboration.

Best,
Drew","Introducing Drew

Hi Alex,

My name is Drew and I'm reaching out about the product launch. I'd love to learn more about your work and explore potential collaboration.

Best,
Drew","{'greeting': '', 'closing': '', 'intent': 'general', 'formality': 'neutral', 'placeholders': ['recipient_name'], 'action_words': []}",general,neutral,,
E00008,Introducing Riley,"Hello Chris,

I'm Riley, the new engineering lead at Hooli. I'm excited to connect and discuss the product launch.

Looking forward,
Riley",introduction,neutral,positive,Riley,Chris,2024-09-29T00:00:00,Introducing Riley,"Hello Chris,

I'm Riley, the new engineering lead at Hooli. I'm excited to connect and discuss the product launch.

Looking forward,
Riley","Introducing Riley

Hello Chris,

I'm Riley, the new engineering lead at Hooli. I'm excited to connect and discuss the product launch.

Looking forward,
Riley","{'greeting': '', 'closing': '', 'intent': 'general', 'formality': 'neutral', 'placeholders': ['recipient_name'], 'action_words': []}",general,neutral,,
E00009,Thanks for the the product launch,"Hi Diego,

Thank you so much for the product launch. Your support meant a lot and made a real difference.

Warm regards,
Lina",thank_you,neutral,positive,Lina,Diego,2024-11-16T00:00:00,Thanks for the the product launch,"Hi Diego,

Thank you so much for the product launch. Your support meant a lot and made a real difference.

Warm regards,
Lina","Thanks for the the product launch

Hi Diego,

Thank you so much for the product launch. Your support meant a lot and made a real difference.

Warm regards,
Lina","{'greeting': '', 'closing': 'Warm regards,', 'intent': 'thank_you', 'formality': 'neutral', 'placeholders': ['recipient_name', 'sender_name'], 'action_words': []}",thank_you,neutral,,"Warm regards,"
