email_id,subject,body,category,tone,sentiment,sender,recipient,created_at
E00000,Announcement: the partnership agreement,"Hi Jordan,

Quick announcement — the partnership agreement goes live on July 22. We'll share follow-up materials shortly.

Thanks,
Jamie",announcement,formal,positive,Jamie,Jordan,2024-08-02T00:00:00
E00001,Thanks for the the security audit,"Hello Morgan,

I really appreciate your help with the security audit. Looking forward to working together again.

Thanks,
Pat",thank_you,neutral,positive,Pat,Morgan,2024-10-03T00:00:00
E00002,Checking in on the product launch,"Hi Taylor,

Just circling back on the product launch. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Marco",follow_up,neutral,neutral,Marco,Taylor,2024-08-09T00:00:00
E00003,Outstanding invoice INV-01071,"Dear Alex,

Please find attached invoice INV-01071 for the partnership agreement. The amount due is payable by October 15. Let me know if you have any questions.

Regards,
Marco",invoice,formal,neutral,Marco,Alex,2024-04-19T00:00:00
E00004,Apology for outage on our staging environment,"Hi Chris,

I'm truly sorry for the inconvenience caused by outage on our staging environment. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Pat",apology,formal,negative,Pat,Chris,2024-06-12T00:00:00
E00005,Complaint regarding the migration project,"Dear Alex,

I'm writing to express my frustration with inaccurate invoice. This has caused significant disruption and I would appreciate a prompt response on how you intend to resolve this.

Regards,
Jamie",complaint,formal,negative,Jamie,Alex,2024-05-19T00:00:00
E00006,Your the customer onboarding flow is confirmed,"Hi Alex,

This email confirms that the customer onboarding flow is scheduled for next quarter. Please let me know if anything changes.

Thanks,
Pat",confirmation,neutral,positive,Pat,Alex,2024-10-29T00:00:00
E00007,Introducing Drew,"Hi Alex,

My name is Drew and I'm reaching out about the product launch. I'd love to learn more about your work and explore potential collaboration.

Best,
Drew",introduction,neutral,positive,Drew,Alex,2024-03-23T00:00:00
E00008,Introducing Riley,"Hello Chris,

I'm Riley, the new engineering lead at Hooli. I'm excited to connect and discuss the product launch.

Looking forward,
Riley",introduction,neutral,positive,Riley,Chris,2024-09-29T00:00:00
E00009,Thanks for the the product launch,"Hi Diego,

Thank you so much for the product launch. Your support meant a lot and made a real difference.

Warm regards,
Lina",thank_you,neutral,positive,Lina,Diego,2024-11-16T00:00:00
E00010,Confirmation: the customer onboarding flow,"Hello Priya,

Your request for the customer onboarding flow has been received and confirmed. Reference number: INV-01006.

Regards,
Jamie",confirmation,neutral,positive,Jamie,Priya,2024-06-17T00:00:00
E00011,URGENT: the migration project,"Hi Sam,

This is urgent — could you please approve the change request regarding the migration project by next Monday? Let me know if you anticipate any blockers.

Thanks,
Marco",urgent_request,formal,negative,Marco,Sam,2024-02-17T00:00:00
E00012,Exciting news about the customer onboarding flow,"Dear Maya,

We are pleased to announce the customer onboarding flow. This will help us merge the pull request. More details to follow soon.

Best regards,
Lina",announcement,formal,positive,Lina,Maya,2024-10-08T00:00:00
E00013,Confirmed — the product launch,"Hi Priya,

This email confirms that the product launch is scheduled for next quarter. Please let me know if anything changes.

Thanks,
Ananya",confirmation,neutral,positive,Ananya,Priya,2024-02-20T00:00:00
E00014,Update on the Q3 roadmap,"Dear Morgan,

We are pleased to announce the Q3 roadmap. This will help us share the latest mockups. More details to follow soon.

Best regards,
Riley",announcement,formal,positive,Riley,Morgan,2024-04-23T00:00:00
E00015,Quick sync on the security audit,"Hi Morgan,

I hope you're doing well. Could we schedule a meeting next week to discuss the security audit? I'm flexible on timing — please share a few slots that work for you.

Best regards,
Drew",meeting_request,formal,neutral,Drew,Morgan,2024-10-05T00:00:00
E00016,Time-sensitive: the Q3 roadmap,"Dear Alex,

We need your immediate attention on inaccurate invoice. Please update the roadmap as soon as possible.

Regards,
Drew",urgent_request,formal,negative,Drew,Alex,2024-06-20T00:00:00
E00017,Unacceptable experience with the analytics dashboard,"Dear Sam,

I'm writing to express my frustration with communication gap. This has caused significant disruption and I would appreciate a prompt response on how you intend to resolve this.

Regards,
Cameron",complaint,formal,negative,Cameron,Sam,2024-12-16T00:00:00
E00018,We're sorry about billing discrepancy,"Hi Sam,

I'm truly sorry for the inconvenience caused by billing discrepancy. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Riley",apology,formal,negative,Riley,Sam,2024-07-17T00:00:00
E00019,Update on the hiring pipeline,"Dear Priya,

We are pleased to announce the hiring pipeline. This will help us issue a refund. More details to follow soon.

Best regards,
Lina",announcement,formal,positive,Lina,Priya,2024-11-11T00:00:00
E00020,Our apologies regarding the customer onboarding flow,"Dear Maya,

Please accept our sincere apologies for the missing line items. We are taking immediate steps to ensure this does not happen again. As a goodwill gesture, we'd like to offer process the payment.

Kind regards,
Pat",apology,formal,negative,Pat,Maya,2024-05-08T00:00:00
E00021,Exciting news about the Q3 roadmap,"Hi Jordan,

Quick announcement — the Q3 roadmap goes live on next quarter. We'll share follow-up materials shortly.

Thanks,
Marco",announcement,formal,positive,Marco,Jordan,2024-03-28T00:00:00
E00022,Quick follow-up regarding the product launch,"Hi Taylor,

Just circling back on the product launch. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Pat",follow_up,neutral,neutral,Pat,Taylor,2024-07-15T00:00:00
E00023,Outstanding invoice INV-01093,"Dear Morgan,

Please find attached invoice INV-01093 for the security audit. The amount due is payable by October 15. Let me know if you have any questions.

Regards,
Cameron",invoice,formal,neutral,Cameron,Morgan,2024-08-11T00:00:00
E00024,Quick introduction — the product launch,"Hi Alex,

My name is Jamie and I'm reaching out about the product launch. I'd love to learn more about your work and explore potential collaboration.

Best,
Jamie",introduction,neutral,positive,Jamie,Alex,2024-12-11T00:00:00
E00025,Confirmed — the migration project,"Hello Taylor,

Your request for the migration project has been received and confirmed. Reference number: INV-01026.

Regards,
Marco",confirmation,neutral,positive,Marco,Taylor,2024-07-04T00:00:00
E00026,Our apologies regarding the marketing campaign,"Hi Chris,

I'm truly sorry for the inconvenience caused by missing line items. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Pat",apology,formal,negative,Pat,Chris,2024-08-14T00:00:00
E00027,Following up on the security audit,"Hi Diego,

Just circling back on the security audit. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Lina",follow_up,neutral,neutral,Lina,Diego,2024-07-16T00:00:00
E00028,Our apologies regarding the Q3 roadmap,"Hi Jordan,

I'm truly sorry for the inconvenience caused by missing line items. We've identified the root cause and are working on a fix. I'll keep you updated.

Best,
Pat",apology,formal,negative,Pat,Jordan,2024-08-29T00:00:00
E00029,Issue with the product launch,"Dear Maya,

I'm writing to express my frustration with billing discrepancy. This has caused significant disruption and I would appreciate a prompt response on how you intend to resolve this.

Regards,
Jamie",complaint,formal,negative,Jamie,Maya,2024-11-26T00:00:00
E00030,Thanks for the the security audit,"Hello Alex,

I really appreciate your help with the security audit. Looking forward to working together again.

Thanks,
Drew",thank_you,neutral,positive,Drew,Alex,2024-01-29T00:00:00
E00031,Appreciate your help with the analytics dashboard,"Hello Alex,

I really appreciate your help with the analytics dashboard. Looking forward to working together again.

Thanks,
Ananya",thank_you,neutral,positive,Ananya,Alex,2024-06-17T00:00:00
E00032,Confirmed — the Q3 roadmap,"Hi Chris,

This email confirms that the Q3 roadmap is scheduled for July 22. Please let me know if anything changes.

Thanks,
Pat",confirmation,neutral,positive,Pat,Chris,2024-10-12T00:00:00
E00033,Following up on the marketing campaign,"Hello Morgan,

Following up on my previous email about the marketing campaign. Could you share an update by the end of the week?

Best,
Lina",follow_up,neutral,neutral,Lina,Morgan,2024-10-30T00:00:00
E00034,Following up on the analytics dashboard,"Hi Priya,

Just circling back on the analytics dashboard. Did you get a chance to review the materials I sent over? Happy to jump on a call if it's easier.

Thanks,
Jamie",follow_up,neutral,neutral,Jamie,Priya,2024-01-02T00:00:00
